parameter,lower_bound,upper_bound
C_OD,1.00E+09,1.00E+09
C_extra,1.00E-09,1.00E-09
C_intra,1.00E-12,1.00E-12
D,0.01,0.5
K_A_B,1.00E-09,1.00E-06
K_mu_glu,3.90E-05,3.90E-05
k_omega_B,1.00E-07,1.00E-06
S0_glu,0.02,0.02
g,1.00E+11,1.00E+11
kA,1.00E-22,1.00E-15
kB_max,1.00E-22,1.00E-15
mu_max,0.4,3
n_A_B,1,2
n_omega,1,2
omega_max,0.5,2
p,0,0
kV,0,0
K_V,0,0
kV_max,0,0
nV,0,0
S0_aa1,0,0
S0_aa2,0,0
p_aa1,1.00E-16,1.00E-15
p_aa2,1.00E-16,1.00E-15
K_mu_aa1,1.00E-06,1.00E-05
K_mu_aa2,1.00E-06,1.00E-05
kI_max,1.00E-21,1.00E-19
n_A_I,2,2
K_A_I,1.00E-09,1.00E-07
k_I,1.00E-21,1.00E-19
nI,2,2